GeoFips,GeoName,deno code,2018 employment by industry,2018 robot data,industry_ifr19,2010 employment by industry,2010employment by state
16000,Idaho,108,598,6606,metal_basic,643096.4444,940549.2
16000,Idaho,109,3748,363,metal_machinery,1140434.235,940549.2
16000,Idaho,110,6666,1177,metal_products,781591.6691,940549.2
16000,Idaho,111,10495,399,mineral,346305.5571,940549.2
16000,Idaho,113,13930,52,paper,1453345.662,940549.2
16000,Idaho,114,8219,4011,petrochemicals,1451592.993,940549.2
16000,Idaho,116,4510544,174,services,86920501.63,940549.2
16000,Idaho,117,6819,32,textiles,351605.6418,940549.2
16000,Idaho,118,3265,33,utilities,797323.46,940549.2
16000,Idaho,119,63835,188,vehicles_other,610364.6973,940549.2
17000,Illinois,101,147092,23,agriculture,1080677.841,7698379.2
17000,Illinois,102,116826,37905,automotive,566138.6104,7698379.2
17000,Illinois,103,727887,125,construction,5359624.691,7698379.2
17000,Illinois,104,274217,11234,electronics,1495060.882,7698379.2
17000,Illinois,105,1333863,2753,food,1483030.717,7698379.2
17000,Illinois,106,33234,55,furniture,710651.4812,7698379.2
17000,Illinois,107,1297195,38737,manufacturing_other,245234.5955,7698379.2
17000,Illinois,108,18818,6606,metal_basic,643096.4444,7698379.2
17000,Illinois,109,75559,363,metal_machinery,1140434.235,7698379.2
17000,Illinois,110,93331,1177,metal_products,781591.6691,7698379.2
17000,Illinois,111,53181,399,mineral,346305.5571,7698379.2
17000,Illinois,113,86661,52,paper,1453345.662,7698379.2
17000,Illinois,114,103002,4011,petrochemicals,1451592.993,7698379.2
17000,Illinois,116,34691274,174,services,86920501.63,7698379.2
17000,Illinois,117,67723,32,textiles,351605.6418,7698379.2
17000,Illinois,118,25569,33,utilities,797323.46,7698379.2
17000,Illinois,119,863046,188,vehicles_other,610364.6973,7698379.2
18000,Indiana,101,124240,23,agriculture,1080677.841,3890281.2
18000,Indiana,102,176460,37905,automotive,566138.6104,3890281.2
18000,Indiana,103,453274,125,construction,5359624.691,3890281.2
18000,Indiana,104,97167,11234,electronics,1495060.882,3890281.2
18000,Indiana,105,661192,2753,food,1483030.717,3890281.2
18000,Indiana,106,36225,55,furniture,710651.4812,3890281.2
18000,Indiana,107,1192760,38737,manufacturing_other,245234.5955,3890281.2
18000,Indiana,108,42149,6606,metal_basic,643096.4444,3890281.2
18000,Indiana,109,45212,363,metal_machinery,1140434.235,3890281.2
18000,Indiana,110,63748,1177,metal_products,781591.6691,3890281.2
18000,Indiana,111,34341,399,mineral,346305.5571,3890281.2
18000,Indiana,113,52377,52,paper,1453345.662,3890281.2
18000,Indiana,114,54610,4011,petrochemicals,1451592.993,3890281.2
18000,Indiana,116,16933000,174,services,86920501.63,3890281.2
18000,Indiana,117,29577,32,textiles,351605.6418,3890281.2
18000,Indiana,118,14375,33,utilities,797323.46,3890281.2
18000,Indiana,119,367749,188,vehicles_other,610364.6973,3890281.2
19000,Iowa,101,174567,23,agriculture,1080677.841,2034965.14
19000,Iowa,102,36681,37905,automotive,566138.6104,2034965.14
19000,Iowa,103,249938,125,construction,5359624.691,2034965.14
19000,Iowa,104,69130,11234,electronics,1495060.882,2034965.14
19000,Iowa,105,366635,2753,food,1483030.717,2034965.14
19000,Iowa,106,12761,55,furniture,710651.4812,2034965.14
19000,Iowa,107,477443,38737,manufacturing_other,245234.5955,2034965.14
19000,Iowa,108,7391,6606,metal_basic,643096.4444,2034965.14
19000,Iowa,109,40495,363,metal_machinery,1140434.235,2034965.14
19000,Iowa,110,21993,1177,metal_products,781591.6691,2034965.14
19000,Iowa,111,13761,399,mineral,346305.5571,2034965.14
19000,Iowa,113,29107,52,paper,1453345.662,2034965.14
19000,Iowa,114,22903,4011,petrochemicals,1451592.993,2034965.14
19000,Iowa,116,8806375,174,services,86920501.63,2034965.14
19000,Iowa,117,13415,32,textiles,351605.6418,2034965.14
19000,Iowa,118,6745,33,utilities,797323.46,2034965.14
19000,Iowa,119,153176,188,vehicles_other,610364.6973,2034965.14
20000,Kansas,101,125474,23,agriculture,1080677.841,1857379.818
20000,Kansas,102,21338,37905,automotive,566138.6104,1857379.818
20000,Kansas,103,200010,125,construction,5359624.691,1857379.818
20000,Kansas,104,52590,11234,electronics,1495060.882,1857379.818
20000,Kansas,105,308913,2753,food,1483030.717,1857379.818
20000,Kansas,106,9847,55,furniture,710651.4812,1857379.818
20000,Kansas,107,361964,38737,manufacturing_other,245234.5955,1857379.818
20000,Kansas,108,1908,6606,metal_basic,643096.4444,1857379.818
20000,Kansas,109,20185,363,metal_machinery,1140434.235,1857379.818
20000,Kansas,110,16870,1177,metal_products,781591.6691,1857379.818
20000,Kansas,111,69488,399,mineral,346305.5571,1857379.818
20000,Kansas,113,18214,52,paper,1453345.662,1857379.818
20000,Kansas,114,19168,4011,petrochemicals,1451592.993,1857379.818
20000,Kansas,116,8298355,174,services,86920501.63,1857379.818
20000,Kansas,117,13471,32,textiles,351605.6418,1857379.818
20000,Kansas,118,6641,33,utilities,797323.46,1857379.818
20000,Kansas,119,144311,188,vehicles_other,610364.6973,1857379.818
21000,Kentucky,101,165745,23,agriculture,1080677.841,2412688.052
21000,Kentucky,102,94168,37905,automotive,566138.6104,2412688.052
21000,Kentucky,103,279040,125,construction,5359624.691,2412688.052
21000,Kentucky,104,69956,11234,electronics,1495060.882,2412688.052
21000,Kentucky,105,445059,2753,food,1483030.717,2412688.052
21000,Kentucky,106,11505,55,furniture,710651.4812,2412688.052
21000,Kentucky,107,544458,38737,manufacturing_other,245234.5955,2412688.052
21000,Kentucky,108,12264,6606,metal_basic,643096.4444,2412688.052
21000,Kentucky,109,21280,363,metal_machinery,1140434.235,2412688.052
21000,Kentucky,110,22719,1177,metal_products,781591.6691,2412688.052
21000,Kentucky,111,39706,399,mineral,346305.5571,2412688.052
21000,Kentucky,113,34941,52,paper,1453345.662,2412688.052
21000,Kentucky,114,33139,4011,petrochemicals,1451592.993,2412688.052
21000,Kentucky,116,10830913,174,services,86920501.63,2412688.052
21000,Kentucky,117,20443,32,textiles,351605.6418,2412688.052
21000,Kentucky,118,7100,33,utilities,797323.46,2412688.052
21000,Kentucky,119,256304,188,vehicles_other,610364.6973,2412688.052
22000,Louisiana,101,74623,23,agriculture,1080677.841,2552288.436
22000,Louisiana,102,32981,37905,automotive,566138.6104,2552288.436
22000,Louisiana,103,447587,125,construction,5359624.691,2552288.436
22000,Louisiana,104,64621,11234,electronics,1495060.882,2552288.436
22000,Louisiana,105,519770,2753,food,1483030.717,2552288.436
22000,Louisiana,106,8701,55,furniture,710651.4812,2552288.436
22000,Louisiana,107,314012,38737,manufacturing_other,245234.5955,2552288.436
22000,Louisiana,108,4187,6606,metal_basic,643096.4444,2552288.436
22000,Louisiana,109,13735,363,metal_machinery,1140434.235,2552288.436
22000,Louisiana,110,18222,1177,metal_products,781591.6691,2552288.436
22000,Louisiana,111,116331,399,mineral,346305.5571,2552288.436
22000,Louisiana,113,22869,52,paper,1453345.662,2552288.436
22000,Louisiana,114,47425,4011,petrochemicals,1451592.993,2552288.436
22000,Louisiana,116,11999940,174,services,86920501.63,2552288.436
22000,Louisiana,117,23479,32,textiles,351605.6418,2552288.436
22000,Louisiana,118,9081,33,utilities,797323.46,2552288.436
22000,Louisiana,119,190246,188,vehicles_other,610364.6973,2552288.436
23000,Maine,101,32202,23,agriculture,1080677.841,799673.322
23000,Maine,102,11783,37905,automotive,566138.6104,799673.322
23000,Maine,103,119959,125,construction,5359624.691,799673.322
23000,Maine,104,21343,11234,electronics,1495060.882,799673.322
23000,Maine,105,158117,2753,food,1483030.717,799673.322
23000,Maine,106,3579,55,furniture,710651.4812,799673.322
23000,Maine,107,119758,38737,manufacturing_other,245234.5955,799673.322
23000,Maine,109,2320,363,metal_machinery,1140434.235,799673.322
23000,Maine,110,5337,1177,metal_products,781591.6691,799673.322
23000,Maine,111,2792,399,mineral,346305.5571,799673.322
23000,Maine,113,14522,52,paper,1453345.662,799673.322
23000,Maine,114,7417,4011,petrochemicals,1451592.993,799673.322
23000,Maine,116,3734139,174,services,86920501.63,799673.322
23000,Maine,117,9506,32,textiles,351605.6418,799673.322
23000,Maine,118,1799,33,utilities,797323.46,799673.322
23000,Maine,119,53663,188,vehicles_other,610364.6973,799673.322
24000,Maryland,101,35862,23,agriculture,1080677.841,3585375.792
24000,Maryland,102,40572,37905,automotive,566138.6104,3585375.792
24000,Maryland,103,506528,125,construction,5359624.691,3585375.792
24000,Maryland,104,117363,11234,electronics,1495060.882,3585375.792
24000,Maryland,105,604858,2753,food,1483030.717,3585375.792
24000,Maryland,106,14976,55,furniture,710651.4812,3585375.792
24000,Maryland,107,254904,38737,manufacturing_other,245234.5955,3585375.792
24000,Maryland,108,890,6606,metal_basic,643096.4444,3585375.792
