GeoFips,GeoName,deno code,2015employment by industry,2015 robot data,industry_ifr19,2010 employment by industry,2010employment
15000,Hawaii,113,3559,66,paper,1453345.662,816180.6
15000,Hawaii,114,6764,2425,petrochemicals,1451592.993,816180.6
15000,Hawaii,116,3944730,133,services,86920501.63,816180.6
15000,Hawaii,117,14346,36,textiles,351605.6418,816180.6
15000,Hawaii,118,4314,0,utilities,797323.46,816180.6
15000,Hawaii,119,59723,128,vehicles_other,610364.6973,816180.6
16000,Idaho,101,75623,18,agriculture,1080677.841,940549.2
16000,Idaho,102,13504,28955,automotive,566138.6104,940549.2
16000,Idaho,103,124227,12,construction,5359624.691,940549.2
16000,Idaho,104,36565,12487,electronics,1495060.882,940549.2
16000,Idaho,105,160154,1094,food,1483030.717,940549.2
16000,Idaho,106,4479,34,furniture,710651.4812,940549.2
16000,Idaho,107,141296,29645,manufacturing_other,245234.5955,940549.2
16000,Idaho,108,797,5107,metal_basic,643096.4444,940549.2
16000,Idaho,109,3367,333,metal_machinery,1140434.235,940549.2
16000,Idaho,110,6499,634,metal_products,781591.6691,940549.2
16000,Idaho,111,12082,268,mineral,346305.5571,940549.2
16000,Idaho,113,13129,66,paper,1453345.662,940549.2
16000,Idaho,114,7406,2425,petrochemicals,1451592.993,940549.2
16000,Idaho,116,4121682,133,services,86920501.63,940549.2
16000,Idaho,117,6407,36,textiles,351605.6418,940549.2
16000,Idaho,118,3260,0,utilities,797323.46,940549.2
16000,Idaho,119,55208,128,vehicles_other,610364.6973,940549.2
17000,Illinois,101,150709,18,agriculture,1080677.841,7698379.2
17000,Illinois,102,115383,28955,automotive,566138.6104,7698379.2
17000,Illinois,103,707733,12,construction,5359624.691,7698379.2
17000,Illinois,104,287411,12487,electronics,1495060.882,7698379.2
17000,Illinois,105,1263860,1094,food,1483030.717,7698379.2
17000,Illinois,106,33070,34,furniture,710651.4812,7698379.2
17000,Illinois,107,1284200,29645,manufacturing_other,245234.5955,7698379.2
17000,Illinois,108,19673,5107,metal_basic,643096.4444,7698379.2
17000,Illinois,109,77952,333,metal_machinery,1140434.235,7698379.2
17000,Illinois,110,94866,634,metal_products,781591.6691,7698379.2
17000,Illinois,111,72057,268,mineral,346305.5571,7698379.2
17000,Illinois,113,89088,66,paper,1453345.662,7698379.2
17000,Illinois,114,102421,2425,petrochemicals,1451592.993,7698379.2
17000,Illinois,116,34213435,133,services,86920501.63,7698379.2
17000,Illinois,117,70489,36,textiles,351605.6418,7698379.2
17000,Illinois,118,25447,0,utilities,797323.46,7698379.2
17000,Illinois,119,724129,128,vehicles_other,610364.6973,7698379.2
18000,Indiana,101,119769,18,agriculture,1080677.841,3890281.2
18000,Indiana,102,158813,28955,automotive,566138.6104,3890281.2
18000,Indiana,103,411471,12,construction,5359624.691,3890281.2
18000,Indiana,104,105798,12487,electronics,1495060.882,3890281.2
18000,Indiana,105,643455,1094,food,1483030.717,3890281.2
18000,Indiana,106,34409,34,furniture,710651.4812,3890281.2
18000,Indiana,107,1140969,29645,manufacturing_other,245234.5955,3890281.2
18000,Indiana,108,43856,5107,metal_basic,643096.4444,3890281.2
18000,Indiana,109,44621,333,metal_machinery,1140434.235,3890281.2
18000,Indiana,110,61107,634,metal_products,781591.6691,3890281.2
18000,Indiana,111,41506,268,mineral,346305.5571,3890281.2
18000,Indiana,113,54146,66,paper,1453345.662,3890281.2
18000,Indiana,114,56185,2425,petrochemicals,1451592.993,3890281.2
18000,Indiana,116,16225215,133,services,86920501.63,3890281.2
18000,Indiana,117,29241,36,textiles,351605.6418,3890281.2
18000,Indiana,118,14515,0,utilities,797323.46,3890281.2
18000,Indiana,119,317194,128,vehicles_other,610364.6973,3890281.2
19000,Iowa,101,177385,18,agriculture,1080677.841,2034965.14
19000,Iowa,102,38698,28955,automotive,566138.6104,2034965.14
19000,Iowa,103,250602,12,construction,5359624.691,2034965.14
19000,Iowa,104,73440,12487,electronics,1495060.882,2034965.14
19000,Iowa,105,357738,1094,food,1483030.717,2034965.14
19000,Iowa,106,12238,34,furniture,710651.4812,2034965.14
19000,Iowa,107,462996,29645,manufacturing_other,245234.5955,2034965.14
19000,Iowa,108,7694,5107,metal_basic,643096.4444,2034965.14
19000,Iowa,109,40748,333,metal_machinery,1140434.235,2034965.14
19000,Iowa,110,21749,634,metal_products,781591.6691,2034965.14
19000,Iowa,111,16136,268,mineral,346305.5571,2034965.14
19000,Iowa,113,29385,66,paper,1453345.662,2034965.14
19000,Iowa,114,22409,2425,petrochemicals,1451592.993,2034965.14
19000,Iowa,116,8717301,133,services,86920501.63,2034965.14
19000,Iowa,117,13797,36,textiles,351605.6418,2034965.14
19000,Iowa,118,6955,0,utilities,797323.46,2034965.14
19000,Iowa,119,155990,128,vehicles_other,610364.6973,2034965.14
20000,Kansas,101,126229,18,agriculture,1080677.841,1857379.818
20000,Kansas,102,21208,28955,automotive,566138.6104,1857379.818
20000,Kansas,103,195368,12,construction,5359624.691,1857379.818
20000,Kansas,104,57425,12487,electronics,1495060.882,1857379.818
20000,Kansas,105,301011,1094,food,1483030.717,1857379.818
20000,Kansas,106,9920,34,furniture,710651.4812,1857379.818
20000,Kansas,107,354307,29645,manufacturing_other,245234.5955,1857379.818
20000,Kansas,108,2053,5107,metal_basic,643096.4444,1857379.818
20000,Kansas,109,19718,333,metal_machinery,1140434.235,1857379.818
20000,Kansas,110,16862,634,metal_products,781591.6691,1857379.818
20000,Kansas,111,98088,268,mineral,346305.5571,1857379.818
20000,Kansas,113,17488,66,paper,1453345.662,1857379.818
20000,Kansas,114,17984,2425,petrochemicals,1451592.993,1857379.818
20000,Kansas,116,8226654,133,services,86920501.63,1857379.818
20000,Kansas,117,14057,36,textiles,351605.6418,1857379.818
20000,Kansas,118,7040,0,utilities,797323.46,1857379.818
20000,Kansas,119,152012,128,vehicles_other,610364.6973,1857379.818
21000,Kentucky,101,168906,18,agriculture,1080677.841,2412688.052
21000,Kentucky,102,86429,28955,automotive,566138.6104,2412688.052
21000,Kentucky,103,265896,12,construction,5359624.691,2412688.052
21000,Kentucky,104,76206,12487,electronics,1495060.882,2412688.052
21000,Kentucky,105,424903,1094,food,1483030.717,2412688.052
21000,Kentucky,106,9822,34,furniture,710651.4812,2412688.052
21000,Kentucky,107,522182,29645,manufacturing_other,245234.5955,2412688.052
21000,Kentucky,108,12036,5107,metal_basic,643096.4444,2412688.052
21000,Kentucky,109,21465,333,metal_machinery,1140434.235,2412688.052
