GeoFips,GeoName,deno code,2017 employment by industry,2017 robot data,industry_ifr19,2010 employment by industry,2010employment by state
12000,Florida,105,2379720,1598,food,1483030.717,10415925.74
12000,Florida,106,57338,61,furniture,710651.4812,10415925.74
12000,Florida,107,875641,34863,manufacturing_other,245234.5955,10415925.74
12000,Florida,108,5015,5939,metal_basic,643096.4444,10415925.74
12000,Florida,109,31713,234,metal_machinery,1140434.235,10415925.74
12000,Florida,110,41360,967,metal_products,781591.6691,10415925.74
12000,Florida,111,70278,296,mineral,346305.5571,10415925.74
12000,Florida,113,84896,49,paper,1453345.662,10415925.74
12000,Florida,114,117923,2972,petrochemicals,1451592.993,10415925.74
12000,Florida,116,54808816,93,services,86920501.63,10415925.74
12000,Florida,117,139975,0,textiles,351605.6418,10415925.74
12000,Florida,118,25469,29,utilities,797323.46,10415925.74
12000,Florida,119,954390,84,vehicles_other,610364.6973,10415925.74
13000,Georgia,101,121606,0,agriculture,1080677.841,5521962.21
13000,Georgia,102,102179,36573,automotive,566138.6104,5521962.21
13000,Georgia,103,685377,9,construction,5359624.691,5521962.21
13000,Georgia,104,294853,13696,electronics,1495060.882,5521962.21
13000,Georgia,105,1113272,1598,food,1483030.717,5521962.21
13000,Georgia,106,31747,61,furniture,710651.4812,5521962.21
13000,Georgia,107,885061,34863,manufacturing_other,245234.5955,5521962.21
13000,Georgia,108,7532,5939,metal_basic,643096.4444,5521962.21
13000,Georgia,109,22878,234,metal_machinery,1140434.235,5521962.21
13000,Georgia,110,31378,967,metal_products,781591.6691,5521962.21
13000,Georgia,111,36354,296,mineral,346305.5571,5521962.21
13000,Georgia,113,83344,49,paper,1453345.662,5521962.21
13000,Georgia,114,63074,2972,petrochemicals,1451592.993,5521962.21
13000,Georgia,116,27042461,93,services,86920501.63,5521962.21
13000,Georgia,117,105536,0,textiles,351605.6418,5521962.21
13000,Georgia,118,20763,29,utilities,797323.46,5521962.21
13000,Georgia,119,603736,84,vehicles_other,610364.6973,5521962.21
15000,Hawaii,101,21849,0,agriculture,1080677.841,816180.6
15000,Hawaii,102,7443,36573,automotive,566138.6104,816180.6
15000,Hawaii,103,101345,9,construction,5359624.691,816180.6
15000,Hawaii,104,21693,13696,electronics,1495060.882,816180.6
15000,Hawaii,105,259307,1598,food,1483030.717,816180.6
15000,Hawaii,106,2308,61,furniture,710651.4812,816180.6
15000,Hawaii,107,40576,34863,manufacturing_other,245234.5955,816180.6
15000,Hawaii,110,464,967,metal_products,781591.6691,816180.6
15000,Hawaii,111,2359,296,mineral,346305.5571,816180.6
15000,Hawaii,113,3483,49,paper,1453345.662,816180.6
15000,Hawaii,114,7012,2972,petrochemicals,1451592.993,816180.6
15000,Hawaii,116,4021382,93,services,86920501.63,816180.6
15000,Hawaii,117,14669,0,textiles,351605.6418,816180.6
15000,Hawaii,118,4164,29,utilities,797323.46,816180.6
15000,Hawaii,119,70428,84,vehicles_other,610364.6973,816180.6
16000,Idaho,101,79629,0,agriculture,1080677.841,940549.2
16000,Idaho,102,15000,36573,automotive,566138.6104,940549.2
16000,Idaho,103,143274,9,construction,5359624.691,940549.2
16000,Idaho,104,37187,13696,electronics,1495060.882,940549.2
16000,Idaho,105,175801,1598,food,1483030.717,940549.2
16000,Idaho,106,4616,61,furniture,710651.4812,940549.2
16000,Idaho,107,152149,34863,manufacturing_other,245234.5955,940549.2
16000,Idaho,108,700,5939,metal_basic,643096.4444,940549.2
16000,Idaho,109,3621,234,metal_machinery,1140434.235,940549.2
16000,Idaho,110,6699,967,metal_products,781591.6691,940549.2
16000,Idaho,111,11825,296,mineral,346305.5571,940549.2
16000,Idaho,113,13804,49,paper,1453345.662,940549.2
16000,Idaho,114,8035,2972,petrochemicals,1451592.993,940549.2
16000,Idaho,116,4358083,93,services,86920501.63,940549.2
16000,Idaho,117,6787,0,textiles,351605.6418,940549.2
16000,Idaho,118,3210,29,utilities,797323.46,940549.2
16000,Idaho,119,58593,84,vehicles_other,610364.6973,940549.2
17000,Illinois,101,146256,0,agriculture,1080677.841,7698379.2
17000,Illinois,102,114098,36573,automotive,566138.6104,7698379.2
17000,Illinois,103,717048,9,construction,5359624.691,7698379.2
17000,Illinois,104,278932,13696,electronics,1495060.882,7698379.2
17000,Illinois,105,1326615,1598,food,1483030.717,7698379.2
17000,Illinois,106,33886,61,furniture,710651.4812,7698379.2
17000,Illinois,107,1276068,34863,manufacturing_other,245234.5955,7698379.2
17000,Illinois,108,17729,5939,metal_basic,643096.4444,7698379.2
17000,Illinois,109,73517,234,metal_machinery,1140434.235,7698379.2
17000,Illinois,110,91353,967,metal_products,781591.6691,7698379.2
17000,Illinois,111,61759,296,mineral,346305.5571,7698379.2
17000,Illinois,113,87428,49,paper,1453345.662,7698379.2
17000,Illinois,114,102782,2972,petrochemicals,1451592.993,7698379.2
17000,Illinois,116,34461717,93,services,86920501.63,7698379.2
17000,Illinois,117,69533,0,textiles,351605.6418,7698379.2
17000,Illinois,118,25495,29,utilities,797323.46,7698379.2
17000,Illinois,119,804038,84,vehicles_other,610364.6973,7698379.2
18000,Indiana,101,120958,0,agriculture,1080677.841,3890281.2
18000,Indiana,102,171694,36573,automotive,566138.6104,3890281.2
18000,Indiana,103,443217,9,construction,5359624.691,3890281.2
18000,Indiana,104,102542,13696,electronics,1495060.882,3890281.2
18000,Indiana,105,658665,1598,food,1483030.717,3890281.2
18000,Indiana,106,36429,61,furniture,710651.4812,3890281.2
18000,Indiana,107,1172857,34863,manufacturing_other,245234.5955,3890281.2
18000,Indiana,108,40782,5939,metal_basic,643096.4444,3890281.2
18000,Indiana,109,43895,234,metal_machinery,1140434.235,3890281.2
18000,Indiana,110,61586,967,metal_products,781591.6691,3890281.2
18000,Indiana,111,36994,296,mineral,346305.5571,3890281.2
18000,Indiana,113,54129,49,paper,1453345.662,3890281.2
18000,Indiana,114,55589,2972,petrochemicals,1451592.993,3890281.2
18000,Indiana,116,16668799,93,services,86920501.63,3890281.2
18000,Indiana,117,30251,0,textiles,351605.6418,3890281.2
18000,Indiana,118,14212,29,utilities,797323.46,3890281.2
18000,Indiana,119,351816,84,vehicles_other,610364.6973,3890281.2
19000,Iowa,101,171964,0,agriculture,1080677.841,2034965.14
19000,Iowa,102,25507,36573,automotive,566138.6104,2034965.14
19000,Iowa,103,247906,9,construction,5359624.691,2034965.14
19000,Iowa,104,68678,13696,electronics,1495060.882,2034965.14
19000,Iowa,105,366429,1598,food,1483030.717,2034965.14
19000,Iowa,106,12564,61,furniture,710651.4812,2034965.14
19000,Iowa,107,463912,34863,manufacturing_other,245234.5955,2034965.14
19000,Iowa,108,7264,5939,metal_basic,643096.4444,2034965.14
19000,Iowa,109,38453,234,metal_machinery,1140434.235,2034965.14
19000,Iowa,110,20926,967,metal_products,781591.6691,2034965.14
19000,Iowa,111,14743,296,mineral,346305.5571,2034965.14
