,Importance,Level,Job Zone,Code,Occupation
121,10,7,2,53-7121.00,"Tank Car, Truck, and Ship Loaders"
122,10,7,2,31-9096.00,Veterinary Assistants and Laboratory Animal Caretakers
123,10,7,2,47-4099.03,Weatherization Installers and Technicians
124,10,5,1,45-2091.00,Agricultural Equipment Operators
125,10,5,3,49-3011.00,Aircraft Mechanics and Service Technicians
126,10,5,2,33-9011.00,Animal Control Workers
127,10,5,2,49-3022.00,Automotive Glass Installers and Repairers
128,10,5,3,35-2013.00,"Cooks, Private Household"
129,10,5,2,35-2014.00,"Cooks, Restaurant"
130,10,5,2,35-1012.00,First-Line Supervisors of Food Preparation and Serving Workers
131,10,5,2,39-3011.00,Gambling Dealers
132,10,5,2,47-3013.00,Helpers--Electricians
133,10,5,2,51-9198.00,Helpers--Production Workers
134,10,5,3,25-4031.00,Library Technicians
135,10,5,2,53-3033.00,Light Truck Drivers
136,10,5,2,31-9095.00,Pharmacy Aides
137,10,5,2,31-2022.00,Physical Therapist Aides
138,10,5,2,51-7041.00,"Sawing Machine Setters, Operators, and Tenders, Wood"
139,10,5,2,51-4122.00,"Welding, Soldering, and Brazing Machine Setters, Operators, and Tenders"
140,10,Not relevant,3,31-9091.00,Dental Assistants
141,10,Not relevant,2,39-1013.00,First-Line Supervisors of Gambling Services Workers
142,10,Not relevant,2,47-2042.00,"Floor Layers, Except Carpet, Wood, and Hard Tiles"
143,10,Not relevant,2,47-3012.00,Helpers--Carpenters
144,10,Not relevant,2,53-7062.04,Recycling and Reclamation Workers
145,10,Not relevant,2,47-2082.00,Tapers
146,10,Not relevant,2,35-3031.00,Waiters and Waitresses
147,6,Not relevant,5,25-2059.01,Adapted Physical Education Specialists
148,6,Not relevant,2,51-2011.00,"Aircraft Structure, Surfaces, Rigging, and Systems Assemblers"
149,6,Not relevant,2,39-2021.00,Animal Caretakers
150,6,Not relevant,5,19-3091.00,Anthropologists and Archeologists
151,6,Not relevant,2,49-3091.00,Bicycle Repairers
152,6,Not relevant,3,49-3031.00,Bus and Truck Mechanics and Diesel Engine Specialists
153,6,Not relevant,2,51-7011.00,Cabinetmakers and Bench Carpenters
154,6,Not relevant,2,51-9011.00,Chemical Equipment Operators and Tenders
155,6,Not relevant,4,27-2022.00,Coaches and Scouts
156,6,Not relevant,2,49-9091.00,"Coin, Vending, and Amusement Machine Servicers and Repairers"
157,6,Not relevant,2,51-9161.00,Computer Numerically Controlled Tool Operators
158,6,Not relevant,4,19-1031.00,Conservation Scientists
159,6,Not relevant,1,53-7011.00,Conveyor Operators and Tenders
160,6,Not relevant,2,33-3012.00,Correctional Officers and Jailers
161,6,Not relevant,2,33-9091.00,Crossing Guards and Flaggers
162,6,Not relevant,1,47-5011.00,"Derrick Operators, Oil and Gas"
163,6,Not relevant,3,47-2111.00,Electricians
164,6,Not relevant,3,47-4021.00,Elevator and Escalator Installers and Repairers
165,6,Not relevant,2,47-5032.00,"Explosives Workers, Ordnance Handling Experts, and Blasters"
166,6,Not relevant,3,27-1022.00,Fashion Designers
167,6,Not relevant,2,51-2051.00,Fiberglass Laminators and Fabricators
168,6,Not relevant,3,27-1013.00,"Fine Artists, Including Painters, Sculptors, and Illustrators"
169,6,Not relevant,2,51-7021.00,Furniture Finishers
170,6,Not relevant,2,47-2121.00,Glaziers
171,6,Not relevant,2,51-4191.00,"Heat Treating Equipment Setters, Operators, and Tenders, Metal and Plastic"
172,6,Not relevant,3,17-3026.00,Industrial Engineering Technologists and Technicians
173,6,Not relevant,3,37-2011.00,"Janitors and Cleaners, Except Maids and Housekeeping Cleaners"
174,6,Not relevant,1,51-6011.00,Laundry and Dry-Cleaning Workers
175,6,Not relevant,5,25-4022.00,Librarians and Media Collections Specialists
176,6,Not relevant,2,53-7063.00,Machine Feeders and Offbearers
177,6,Not relevant,2,49-9011.00,Mechanical Door Repairers
178,6,Not relevant,2,31-9093.00,Medical Equipment Preparers
179,6,Not relevant,5,29-9099.01,Midwives
180,6,Not relevant,2,49-9044.00,Millwrights
181,6,Not relevant,3,51-4061.00,"Model Makers, Metal and Plastic"
182,6,Not relevant,2,51-9195.00,"Molders, Shapers, and Casters, Except Metal and Plastic"
183,6,Not relevant,2,51-4072.00,"Molding, Coremaking, and Casting Machine Setters, Operators, and Tenders, Metal and Plastic"
184,6,Not relevant,3,49-3052.00,Motorcycle Mechanics
185,6,Not relevant,2,39-9011.01,Nannies
186,6,Not relevant,2,47-2141.00,"Painters, Construction and Maintenance"
187,6,Not relevant,2,51-9196.00,"Paper Goods Machine Setters, Operators, and Tenders"
188,6,Not relevant,2,47-2142.00,Paperhangers
189,6,Not relevant,3,51-4062.00,"Patternmakers, Metal and Plastic"
190,6,Not relevant,3,51-7032.00,"Patternmakers, Wood"
191,6,Not relevant,2,37-2021.00,Pest Control Workers
192,6,Not relevant,2,47-2072.00,Pile Driver Operators
193,6,Not relevant,2,47-2151.00,Pipelayers
194,6,Not relevant,3,51-9195.05,"Potters, Manufacturing"
195,6,Not relevant,3,29-2034.00,Radiologic Technologists and Technicians
196,6,Not relevant,2,49-3043.00,Rail Car Repairers
197,6,Not relevant,2,47-4061.00,Rail-Track Laying and Maintenance Equipment Operators
198,6,Not relevant,3,49-2098.00,Security and Fire Alarm Systems Installers
199,6,Not relevant,2,39-5093.00,Shampooers
200,6,Not relevant,2,43-5071.00,"Shipping, Receiving, and Inventory Clerks"
201,6,Not relevant,2,47-2231.00,Solar Photovoltaic Installers
202,6,Not relevant,2,47-2221.00,Structural Iron and Steel Workers
203,6,Not relevant,3,29-9093.00,Surgical Assistants
204,6,Not relevant,2,51-6061.00,Textile Bleaching and Dyeing Machine Operators and Tenders
205,6,Not relevant,2,51-6063.00,"Textile Knitting and Weaving Machine Setters, Operators, and Tenders"
206,6,Not relevant,2,47-2044.00,Tile and Stone Setters
207,6,Not relevant,2,33-9093.00,Transportation Security Screeners
208,6,Not relevant,2,27-2023.00,"Umpires, Referees, and Other Sports Officials"
209,6,Not relevant,2,51-6093.00,Upholsterers
210,5,Not relevant,4,17-3026.01,Nanotechnology Engineering Technologists and Technicians
211,3,Not relevant,3,19-4012.00,Agricultural Technicians
212,3,Not relevant,5,29-1071.01,Anesthesiologist Assistants
213,3,Not relevant,2,45-2021.00,Animal Breeders
214,3,Not relevant,2,39-2011.00,Animal Trainers
215,3,Not relevant,5,25-1121.00,"Art, Drama, and Music Teachers, Postsecondary"
216,3,Not relevant,2,39-6011.00,Baggage Porters and Bellhops
217,3,Not relevant,3,39-5011.00,Barbers
218,3,Not relevant,1,35-3023.01,Baristas
219,3,Not relevant,4,11-3051.04,Biomass Power Plant Managers
220,3,Not relevant,2,53-3052.00,"Bus Drivers, Transit and Intercity"
221,3,Not relevant,3,29-2031.00,Cardiovascular Technologists and Technicians
222,3,Not relevant,2,41-2011.00,Cashiers
223,3,Not relevant,2,39-9011.00,Childcare Workers
224,3,Not relevant,2,51-9192.00,"Cleaning, Washing, and Metal Pickling Equipment Operators and Tenders"
225,3,Not relevant,5,29-1141.04,Clinical Nurse Specialists
226,3,Not relevant,2,51-2021.00,"Coil Winders, Tapers, and Finishers"
227,3,Not relevant,3,53-2012.00,Commercial Pilots
228,3,Not relevant,2,51-9193.00,Cooling and Freezing Equipment Operators and Tenders
229,3,Not relevant,3,27-1012.00,Craft Artists
230,3,Not relevant,1,51-9031.00,"Cutters and Trimmers, Hand"
231,3,Not relevant,2,51-4031.00,"Cutting, Punching, and Press Machine Setters, Operators, and Tenders, Metal and Plastic"
232,3,Not relevant,5,29-1021.00,"Dentists, General"
233,3,Not relevant,4,21-2021.00,"Directors, Religious Activities and Education"
234,3,Not relevant,1,35-9021.00,Dishwashers
235,3,Not relevant,2,53-7031.00,Dredge Operators
236,3,Not relevant,2,47-5023.00,"Earth Drillers, Except Oil and Gas"
237,3,Not relevant,3,49-2092.00,"Electric Motor, Power Tool, and Related Repairers"
238,3,Not relevant,3,17-3012.00,Electrical and Electronics Drafters
239,3,Not relevant,3,49-2096.00,"Electronic Equipment Installers and Repairers, Motor Vehicles"
240,3,Not relevant,2,31-9099.02,Endoscopy Technicians
241,3,Not relevant,2,51-2031.00,Engine and Other Machine Assemblers
242,3,Not relevant,2,47-5022.00,"Excavating and Loading Machine and Dragline Operators, Surface Mining"
243,3,Not relevant,2,51-6091.00,"Extruding and Forming Machine Setters, Operators, and Tenders, Synthetic and Glass Fibers"
244,3,Not relevant,5,25-9021.00,Farm and Home Management Educators
245,3,Not relevant,3,49-3041.00,Farm Equipment Mechanics and Service Technicians
246,3,Not relevant,3,33-2021.00,Fire Inspectors and Investigators
247,3,Not relevant,3,47-1011.00,First-Line Supervisors of Construction Trades and Extraction Workers
248,3,Not relevant,2,37-1011.00,First-Line Supervisors of Housekeeping and Janitorial Workers
249,3,Not relevant,2,27-1023.00,Floral Designers
250,3,Not relevant,2,51-3093.00,Food Cooking Machine Operators and Tenders
251,3,Not relevant,1,35-2021.00,Food Preparation Workers
252,3,Not relevant,2,51-4022.00,"Forging Machine Setters, Operators, and Tenders, Metal and Plastic"
253,3,Not relevant,3,11-9171.00,Funeral Home Managers
254,3,Not relevant,2,39-3012.00,Gambling and Sports Book Writers and Runners
255,3,Not relevant,2,41-2012.00,Gambling Change Persons and Booth Cashiers
256,3,Not relevant,3,11-3051.02,Geothermal Production Managers
257,3,Not relevant,2,51-4033.00,"Grinding, Lapping, Polishing, and Buffing Machine Tool Setters, Operators, and Tenders, Metal and Plastic"
258,3,Not relevant,3,39-5012.00,"Hairdressers, Hairstylists, and Cosmetologists"
259,3,Not relevant,3,47-4041.00,Hazardous Materials Removal Workers
260,3,Not relevant,2,53-7041.00,Hoist and Winch Operators
261,3,Not relevant,2,49-9031.00,Home Appliance Repairers
262,3,Not relevant,2,47-5044.00,"Loading and Moving Machine Operators, Underground Mining"
263,3,Not relevant,2,45-4023.00,Log Graders and Scalers
264,3,Not relevant,1,45-4022.00,Logging Equipment Operators
265,3,Not relevant,3,49-9043.00,"Maintenance Workers, Machinery"
266,3,Not relevant,3,39-5091.00,"Makeup Artists, Theatrical and Performance"
267,3,Not relevant,1,51-3022.00,"Meat, Poultry, and Fish Cutters and Trimmers"
268,3,Not relevant,3,49-9063.00,Musical Instrument Repairers and Tuners
269,3,Not relevant,3,31-2012.00,Occupational Therapy Aides
270,3,Not relevant,4,13-1199.06,Online Merchants
271,3,Not relevant,2,49-3053.00,Outdoor Power Equipment and Other Small Engine Mechanics
272,3,Not relevant,2,51-9111.00,Packaging and Filling Machine Operators and Tenders
273,3,Not relevant,1,51-9123.00,"Painting, Coating, and Decorating Workers"
274,3,Not relevant,2,53-6021.00,Parking Attendants
275,3,Not relevant,2,37-3012.00,"Pesticide Handlers, Sprayers, and Applicators, Vegetation"
276,3,Not relevant,5,29-1051.00,Pharmacists
277,3,Not relevant,3,31-9097.00,Phlebotomists
278,3,Not relevant,2,51-9151.00,Photographic Process Workers and Processing Machine Operators
279,3,Not relevant,3,17-3029.08,Photonics Technicians
280,3,Not relevant,2,51-4193.00,"Plating Machine Setters, Operators, and Tenders, Metal and Plastic"
281,3,Not relevant,2,51-4052.00,"Pourers and Casters, Metal"
282,3,Not relevant,2,51-8013.00,Power Plant Operators
283,3,Not relevant,2,51-5112.00,Printing Press Operators
284,3,Not relevant,2,53-4013.00,"Rail Yard Engineers, Dinkey Operators, and Hostlers"
285,3,Not relevant,3,41-9022.00,Real Estate Sales Agents
286,3,Not relevant,4,39-9032.00,Recreation Workers
287,3,Not relevant,2,49-9045.00,"Refractory Materials Repairers, Except Brickmasons"
288,3,Not relevant,2,49-9096.00,Riggers
289,3,Not relevant,3,17-3024.01,Robotics Technicians
290,3,Not relevant,1,47-5051.00,"Rock Splitters, Quarry"
291,3,Not relevant,2,51-4023.00,"Rolling Machine Setters, Operators, and Tenders, Metal and Plastic"
292,3,Not relevant,2,53-5011.00,Sailors and Marine Oilers
293,3,Not relevant,4,41-4012.00,"Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products"
294,3,Not relevant,2,51-9012.00,"Separating, Filtering, Clarifying, Precipitating, and Still Machine Setters, Operators, and Tenders"
295,3,Not relevant,2,51-6051.00,"Sewers, Hand"
296,3,Not relevant,1,51-6031.00,Sewing Machine Operators
297,3,Not relevant,3,53-5031.00,Ship Engineers
298,3,Not relevant,2,51-6041.00,Shoe and Leather Workers and Repairers
299,3,Not relevant,5,19-1013.00,Soil and Plant Scientists
300,3,Not relevant,3,47-1011.03,Solar Energy Installation Managers
301,3,Not relevant,3,41-4011.07,Solar Sales Representatives and Assessors
302,3,Not relevant,5,25-2051.00,"Special Education Teachers, Preschool"
303,3,Not relevant,3,47-2022.00,Stonemasons
304,3,Not relevant,3,49-2022.00,"Telecommunications Equipment Installers and Repairers, Except Line Installers"
305,3,Not relevant,2,51-9197.00,Tire Builders
306,3,Not relevant,2,49-3093.00,Tire Repairers and Changers
307,3,Not relevant,5,29-1131.00,Veterinarians
308,3,Not relevant,4,27-3043.00,Writers and Authors
309,2,Not relevant,4,11-9013.00,"Farmers, Ranchers, and Other Agricultural Managers"
310,2,Not relevant,4,19-4043.00,"Geological Technicians, Except Hydrologic Technicians"
311,2,Not relevant,2,53-4022.00,"Railroad Brake, Signal, and Switch Operators and Locomotive Firers"
312,0,Not relevant,4,13-2011.00,Accountants and Auditors
313,0,Not relevant,2,27-2011.00,Actors
314,0,Not relevant,4,15-2011.00,Actuaries
315,0,Not relevant,5,29-1291.00,Acupuncturists
316,0,Not relevant,3,29-1141.01,Acute Care Nurses
317,0,Not relevant,5,23-1021.00,"Administrative Law Judges, Adjudicators, and Hearing Officers"
318,0,Not relevant,3,11-3012.00,Administrative Services Managers
319,0,Not relevant,4,25-3011.00,"Adult Basic Education, Adult Secondary Education, and English as a Second Language Instructors"
320,0,Not relevant,5,29-1141.02,Advanced Practice Psychiatric Nurses
321,0,Not relevant,4,11-2011.00,Advertising and Promotions Managers
322,0,Not relevant,4,41-3011.00,Advertising Sales Agents
323,0,Not relevant,3,17-3021.00,Aerospace Engineering and Operations Technologists and Technicians
324,0,Not relevant,4,17-2011.00,Aerospace Engineers
325,0,Not relevant,4,13-1011.00,"Agents and Business Managers of Artists, Performers, and Athletes"
326,0,Not relevant,4,17-2021.00,Agricultural Engineers
327,0,Not relevant,2,45-2011.00,Agricultural Inspectors
328,0,Not relevant,5,25-1041.00,"Agricultural Sciences Teachers, Postsecondary"
329,0,Not relevant,3,53-2021.00,Air Traffic Controllers
330,0,Not relevant,3,53-2022.00,Airfield Operations Specialists
331,0,Not relevant,4,53-2011.00,"Airline Pilots, Copilots, and Flight Engineers"
332,0,Not relevant,5,29-1229.01,Allergists and Immunologists
333,0,Not relevant,2,53-3011.00,"Ambulance Drivers and Attendants, Except Emergency Medical Technicians"
334,0,Not relevant,1,39-3091.00,Amusement and Recreation Attendants
335,0,Not relevant,5,29-1211.00,Anesthesiologists
336,0,Not relevant,5,19-1011.00,Animal Scientists
337,0,Not relevant,5,25-1061.00,"Anthropology and Archeology Teachers, Postsecondary"
338,0,Not relevant,4,13-2023.00,Appraisers and Assessors of Real Estate
339,0,Not relevant,5,23-1022.00,"Arbitrators, Mediators, and Conciliators"
340,0,Not relevant,5,17-1011.00,"Architects, Except Landscape and Naval"
341,0,Not relevant,3,17-3011.00,Architectural and Civil Drafters
342,0,Not relevant,5,11-9041.00,Architectural and Engineering Managers
343,0,Not relevant,5,25-1031.00,"Architecture Teachers, Postsecondary"
344,0,Not relevant,5,25-4011.00,Archivists
345,0,Not relevant,5,25-1062.00,"Area, Ethnic, and Cultural Studies Teachers, Postsecondary"
346,0,Not relevant,4,27-1011.00,Art Directors
347,0,Not relevant,5,29-1129.01,Art Therapists
348,0,Not relevant,5,19-2011.00,Astronomers
349,0,Not relevant,4,19-2021.00,Atmospheric and Space Scientists
350,0,Not relevant,5,25-1051.00,"Atmospheric, Earth, Marine, and Space Sciences Teachers, Postsecondary"
351,0,Not relevant,3,27-4011.00,Audio and Video Technicians
352,0,Not relevant,5,29-1181.00,Audiologists
353,0,Not relevant,3,49-2097.00,Audiovisual Equipment Installers and Repairers
354,0,Not relevant,2,53-6031.00,Automotive and Watercraft Service Attendants
355,0,Not relevant,3,17-3027.01,Automotive Engineering Technicians
356,0,Not relevant,4,17-2141.02,Automotive Engineers
357,0,Not relevant,3,53-6051.01,Aviation Inspectors
358,0,Not relevant,3,49-2091.00,Avionics Technicians
359,0,Not relevant,3,33-3011.00,Bailiffs
360,0,Not relevant,2,35-3011.00,Bartenders
361,0,Not relevant,2,43-3011.00,Bill and Account Collectors
362,0,Not relevant,3,43-3021.00,Billing and Posting Clerks
363,0,Not relevant,5,19-1021.00,Biochemists and Biophysicists
364,0,Not relevant,4,17-2031.00,Bioengineers and Biomedical Engineers
365,0,Not relevant,4,11-3051.03,Biofuels Production Managers
366,0,Not relevant,4,11-9041.01,Biofuels/Biodiesel Technology and Product Development Managers
367,0,Not relevant,5,19-1029.01,Bioinformatics Scientists
368,0,Not relevant,4,15-2099.01,Bioinformatics Technicians
369,0,Not relevant,5,25-1042.00,"Biological Science Teachers, Postsecondary"
370,0,Not relevant,4,19-4021.00,Biological Technicians
371,0,Not relevant,5,19-1029.04,Biologists
372,0,Not relevant,2,51-8013.03,Biomass Plant Technicians
373,0,Not relevant,5,15-2041.01,Biostatisticians
374,0,Not relevant,3,43-3031.00,"Bookkeeping, Accounting, and Auditing Clerks"
375,0,Not relevant,2,53-6011.00,Bridge and Lock Tenders
376,0,Not relevant,4,27-3011.00,Broadcast Announcers and Radio Disc Jockeys
377,0,Not relevant,3,27-4012.00,Broadcast Technicians
378,0,Not relevant,3,43-4011.00,Brokerage Clerks
379,0,Not relevant,4,11-9199.11,Brownfield Redevelopment Specialists and Site Managers
380,0,Not relevant,4,13-2031.00,Budget Analysts
381,0,Not relevant,4,13-1199.04,Business Continuity Planners
382,0,Not relevant,4,15-2051.01,Business Intelligence Analysts
383,0,Not relevant,5,25-1011.00,"Business Teachers, Postsecondary"
384,0,Not relevant,4,13-1021.00,"Buyers and Purchasing Agents, Farm Products"
385,0,Not relevant,3,49-9061.00,Camera and Photographic Equipment Repairers
386,0,Not relevant,3,27-4031.00,"Camera Operators, Television, Video, and Film"
387,0,Not relevant,4,25-2023.00,"Career/Technical Education Teachers, Middle School"
388,0,Not relevant,3,25-1194.00,"Career/Technical Education Teachers, Postsecondary"
389,0,Not relevant,4,25-2032.00,"Career/Technical Education Teachers, Secondary School"
390,0,Not relevant,2,43-5011.00,Cargo and Freight Agents
391,0,Not relevant,4,17-1021.00,Cartographers and Photogrammetrists
392,0,Not relevant,4,17-2041.00,Chemical Engineers
393,0,Not relevant,2,51-8091.00,Chemical Plant and System Operators
394,0,Not relevant,3,19-4031.00,Chemical Technicians
395,0,Not relevant,5,25-1052.00,"Chemistry Teachers, Postsecondary"
396,0,Not relevant,4,19-2031.00,Chemists
397,0,Not relevant,5,11-1011.00,Chief Executives
398,0,Not relevant,5,11-1011.03,Chief Sustainability Officers
399,0,Not relevant,4,21-1021.00,"Child, Family, and School Social Workers"
400,0,Not relevant,5,29-1011.00,Chiropractors
401,0,Not relevant,3,17-3022.00,Civil Engineering Technologists and Technicians
402,0,Not relevant,4,17-2051.00,Civil Engineers
403,0,Not relevant,4,13-1031.00,"Claims Adjusters, Examiners, and Investigators"
404,0,Not relevant,5,21-2011.00,Clergy
405,0,Not relevant,5,19-2041.01,Climate Change Policy Analysts
406,0,Not relevant,5,19-3033.00,Clinical and Counseling Psychologists
407,0,Not relevant,4,15-2051.02,Clinical Data Managers
408,0,Not relevant,4,11-9121.01,Clinical Research Coordinators
409,0,Not relevant,4,27-1021.00,Commercial and Industrial Designers
